a,b,c,d,e,f,g,h,i,j,k
222,111,100,y,0,ON,0,OFF,0,signal,1
223,111.5,100,y,0,ON,0,OFF,0,signal,1
224,112,100,y,0,ON,0,OFF,0,signal,1
225,112.5,100,y,0,ON,0,OFF,0,signal,1
226,113,100,y,0,ON,0,OFF,0,signal,1
227,113.5,100,y,0,ON,0,OFF,0,signal,1
228,114,100,y,0,ON,0,OFF,0,signal,1
229,114.5,100,y,0,ON,0,OFF,0,signal,1
230,115,100,y,0,ON,0,OFF,0,signal,1
231,115.5,100,y,0,ON,0,OFF,0,signal,1
232,116,100,y,0,ON,0,OFF,0,signal,1
233,116.5,100,y,0,ON,0,OFF,0,signal,1
234,117,100,y,0,ON,0,OFF,0,signal,1
235,117.5,100,y,0,ON,0,OFF,0,signal,1
236,118,100,y,0,ON,0,OFF,0,signal,1
237,118.5,100,y,0,ON,0,OFF,0,signal,1
238,119,100,y,0,ON,0,OFF,0,signal,1
239,119.5,100,y,0,ON,0,OFF,0,signal,1
240,120,100,y,0,ON,0,OFF,0,signal,1
241,120.5,100,y,0,ON,0,OFF,0,signal,1
242,121,100,y,0,ON,0,OFF,0,signal,1
243,121.5,100,y,0,ON,0,OFF,0,signal,1
244,122,100,y,0,ON,0,OFF,0,signal,1
245,122.5,100,y,0,ON,0,OFF,0,signal,1
246,123,100,y,0,ON,0,OFF,0,signal,1
247,123.5,100,y,0,ON,0,OFF,0,signal,1
248,124,100,y,0,ON,0,OFF,0,signal,1
249,124.5,100,y,0,ON,0,OFF,0,signal,1
250,125,100,y,0,ON,0,OFF,0,signal,1
251,125.5,100,y,0,ON,0,OFF,0,signal,1
252,126,100,y,0,ON,0,OFF,0,signal,1
253,126.5,100,y,0,ON,0,OFF,0,signal,1
254,127,100,y,0,ON,0,OFF,0,signal,1
255,127.5,100,y,0,ON,0,OFF,0,signal,1
256,128,100,y,0,ON,0,OFF,0,signal,1
257,128.5,100,y,0,ON,0,OFF,0,signal,1
258,129,100,y,0,ON,0,OFF,0,signal,1
259,129.5,100,y,0,ON,0,OFF,0,signal,1
260,130,100,y,0,ON,0,OFF,0,signal,1
261,130.5,100,y,0,ON,0,OFF,0,signal,1
262,131,100,y,0,ON,0,OFF,0,signal,1
263,131.5,100,y,0,ON,0,OFF,0,signal,1
264,132,100,y,0,ON,0,OFF,0,signal,1
265,132.5,100,y,0,ON,0,OFF,0,signal,1
266,133,100,y,0,ON,0,OFF,0,signal,1
267,133.5,100,y,0,ON,0,OFF,0,signal,1
268,134,100,y,0,ON,0,OFF,0,signal,1
269,134.5,100,y,0,ON,0,OFF,0,signal,1
270,135,100,y,0,ON,0,OFF,0,signal,1
271,135.5,100,y,0,ON,0,OFF,0,signal,1
272,136,100,y,0,ON,0,OFF,0,signal,1
273,136.5,100,y,0,ON,0,OFF,0,signal,1
274,137,100,y,0,ON,0,OFF,0,signal,1
275,137.5,100,y,0,ON,0,OFF,0,signal,1
276,138,100,y,0,ON,0,OFF,0,signal,1
277,138.5,100,y,0,ON,0,OFF,0,signal,1
278,139,100,y,0,ON,0,OFF,0,signal,1
279,139.5,100,y,0,ON,0,OFF,0,signal,1
280,140,100,y,0,ON,0,OFF,0,signal,1
281,140.5,100,y,0,ON,0,OFF,0,signal,1
282,141,100,y,0,ON,0,OFF,0,signal,1
283,141.5,100,y,0,ON,0,OFF,0,signal,1
284,142,100,y,0,ON,0,OFF,0,signal,1
285,142.5,100,y,0,ON,0,OFF,0,signal,1
286,143,100,y,0,ON,0,OFF,0,signal,1
287,143.5,100,y,0,ON,0,OFF,0,signal,1
288,144,100,y,0,ON,0,OFF,0,signal,1
289,144.5,100,y,0,ON,0,OFF,0,signal,1
290,145,100,y,0,ON,0,OFF,0,signal,1
291,145.5,100,y,0,ON,0,OFF,0,signal,1
292,146,100,y,0,ON,0,OFF,0,signal,1
293,146.5,100,y,0,ON,0,OFF,0,signal,1
294,147,100,y,0,ON,0,OFF,0,signal,1
295,147.5,100,y,0,ON,0,OFF,0,signal,1
296,148,100,y,0,ON,0,OFF,0,signal,1
297,148.5,100,y,0,ON,0,OFF,0,signal,1
298,149,100,y,0,ON,0,OFF,0,signal,1
299,149.5,100,y,0,ON,0,OFF,0,signal,1
300,150,100,y,0,ON,0,OFF,0,signal,1
301,150.5,100,y,0,ON,0,OFF,0,signal,1
302,151,100,y,0,ON,0,OFF,0,signal,1
303,151.5,100,y,0,ON,0,OFF,0,signal,1
304,152,100,y,0,ON,0,OFF,0,signal,1
305,152.5,100,y,0,ON,0,OFF,0,signal,1
306,153,100,y,0,ON,0,OFF,0,signal,1
307,153.5,100,y,0,ON,0,OFF,0,signal,1
308,154,100,y,0,ON,0,OFF,0,signal,1
309,154.5,100,y,0,ON,0,OFF,0,signal,1
310,155,100,y,0,ON,0,OFF,0,signal,1
311,155.5,100,y,0,ON,0,OFF,0,signal,1
312,156,100,y,0,ON,0,OFF,0,signal,1
313,156.5,100,y,0,ON,0,OFF,0,signal,1
314,157,100,y,0,ON,0,OFF,0,signal,1
315,157.5,100,y,0,ON,0,OFF,0,signal,1
316,158,100,y,0,ON,0,OFF,0,signal,1
317,158.5,100,y,0,ON,0,OFF,0,signal,1
318,159,100,y,0,ON,0,OFF,0,signal,1
319,159.5,100,y,0,ON,0,OFF,0,signal,1
320,160,100,y,0,ON,0,OFF,0,signal,1
321,160.5,100,y,0,ON,0,OFF,0,signal,1
322,161,100,y,0,ON,0,OFF,0,signal,1
323,161.5,100,y,0,ON,0,OFF,0,signal,1
324,162,100,y,0,ON,0,OFF,0,signal,1
325,162.5,100,y,0,ON,0,OFF,0,signal,1
326,163,100,y,0,ON,0,OFF,0,signal,1
327,163.5,100,y,0,ON,0,OFF,0,signal,1
328,164,100,y,0,ON,0,OFF,0,signal,1
